title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Poreska uprava RS-a,24436000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti ,Republika Srpska
Predsjednik RS-a,10919000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Republika Srpska
Narodna skupština RS-a,10489000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Republika Srpska
Repub. uprava za inspekc. poslove,10403000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi ,Republika Srpska
Vlada RS-a,10193000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Republika Srpska
Min. uprave i lok. samouprave,9369000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Republika Srpska
Min. finansija,7927000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Republika Srpska
"Min. porodice, omladine i sporta",7415000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Republika Srpska
Služba za zajednič. poslove Vlade RS-a,5268000,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Republika Srpska
Repub. zavod za statistiku,4043000,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.2,Planiranje i statistika,Republika Srpska
Glavna služba za reviziju jav. sektora RS-a,3500000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti ,Republika Srpska
Vijeće naroda RS-a,3340000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Republika Srpska
Repub. hidromet. zavod,1298000,2012,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Republika Srpska
Repub. uprava za igre na sreću,1048000,2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Republika Srpska
Repub. centar za istraž. rat. zločina,997000,2012,01,Rad Vlade,01.4,Istraživanja,01.4.0,Istraživanja,Republika Srpska
Arhiv RS-a,898000,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Republika Srpska
Repub. sekretar. za zakonodav.,648000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Republika Srpska
Agencija za državnu upravu,623000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Republika Srpska
Agencija za upravljanje oduz. imov.,578000,2012,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Republika Srpska
Repub. devizni inspektorat,461000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Republika Srpska
Gender centar,426000,2012,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Republika Srpska
