title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Institucija ombdusmana za ljudska prava BiH,2388000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosna i Hercegovina
Agencija za policijsku podršku,1605000,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosna i Hercegovina
Agencija za zaštitu ličnih podataka u BiH,1068000,2012,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Bosna i Hercegovina
Pravobranilaštvo Bosne i Hercegovine,1002000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosna i Hercegovina
Državna regulatorna agencija za radijacijsku i nuklearnu bezbjednost u BiH,981000,2012,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Bosna i Hercegovina
Agencija za prevenciju korupcije i koordinaciju borbe protiv korupcije,885000,2012,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Bosna i Hercegovina
Institucija ombdusmana za zaštitu potrošaća u BiH,369000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosna i Hercegovina
Ministarstvo komunikacija i prometa Bosne i Hercegovine,13488000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Ministarstvo vanjske trgovine i ekonomskih odnosa Bosne i Hercegovine,6625000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Direkcija za civilno vazduhoplovstvo BiH,6037000,2012,04,Ekonomija,04.5,Transport,04.5.4,Avijacija,Bosna i Hercegovina
Agencija za promociju stranih investicija u BiH,1525000,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Bosna i Hercegovina
Konkurencijsko vijeće Bosne i Hercegovine,1475000,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Bosna i Hercegovina
Direkcija za ekonomsko planiranje,1285000,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Bosna i Hercegovina
Komisija za koncesije BiH,1076000,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Bosna i Hercegovina
Ured za razmatranje žalbi po javnim nabavkama,1070000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Bosna i Hercegovina
Agencija za javne nabavke BiH,915000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Bosna i Hercegovina
Agencija za poštanski promet BiH,882000,2012,04,Ekonomija,04.6,Komunikacije,04.6.0,Komunikacije,Bosna i Hercegovina
Agencija za nadzor nad tržištem BiH,728000,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Bosna i Hercegovina
Agencija za osiguranje u BiH,536000,2012,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Bosna i Hercegovina
Ured za harmonizaciju i koordinaciju sistema plačanja u poljoprivredi i ruralnom razvoju,529000,2012,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.1,Agrokultura,Bosna i Hercegovina
"Agencija za predškolsko, osnovno i srednje obrazovanje BiH",1267000,2012,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Bosna i Hercegovina
Agencija za razvoj visokog obrazovanja i osiguranje kvaliteta,1152000,2012,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Bosna i Hercegovina
